Piezo Voltage (V),Fine In 1 (V)
111.989838,2.637378
112.01442,2.637084
112.038956,2.636832
112.063515,2.636528
112.088051,2.636188
112.112625,2.635861
112.137161,2.635504
112.161743,2.63519
112.186279,2.634883
112.210846,2.634573
112.235374,2.63427
112.259918,2.633914
112.2845,2.633522
112.309036,2.6332
112.333611,2.632883
112.358147,2.632482
112.382729,2.63213
112.407242,2.631845
112.431824,2.631433
112.45636,2.631126
112.480927,2.630778
112.50547,2.630412
112.530029,2.630057
112.554588,2.629673
112.579117,2.629371
